Size;Threads;Time
100000;2; 0.001886
1000000;2; 0.018281
10000000;2; 0.181204
100000000;2; 1.793378
1000000000;2; 17.954889
10000000000;2; 25.381428
100000;4; 0.001676
1000000;4; 0.009965
10000000;4; 0.092921
100000000;4; 0.915023
1000000000;4; 9.084977
10000000000;4; 12.806957
100000;8; 0.001644
1000000;8; 0.005768
10000000;8; 0.062057
100000000;8; 0.558973
1000000000;8; 5.266739
10000000000;8; 7.065291
100000;16; 0.001370
1000000;16; 0.007704
10000000;16; 0.061035
100000000;16; 0.588937
1000000000;16; 5.198966
10000000000;16; 7.539997
100000;32; 0.002318
1000000;32; 0.007369
10000000;32; 0.062197
100000000;32; 0.591411
1000000000;32; 5.425901
10000000000;32; 7.343926
100000;2; 0.001994
1000000;2; 0.022889
10000000;2; 0.203765
100000000;2; 1.915161
1000000000;2; 18.165471
10000000000;2; 25.621828
100000;4; 0.001833
1000000;4; 0.011955
10000000;4; 0.107235
100000000;4; 1.023314
1000000000;4; 9.584935
10000000000;4; 13.042213
100000;8; 0.001055
1000000;8; 0.006226
10000000;8; 0.061806
100000000;8; 0.563866
1000000000;8; 5.053837
10000000000;8; 7.180764
100000;16; 0.001528
1000000;16; 0.006392
10000000;16; 0.061200
100000000;16; 0.564927
1000000000;16; 5.112611
10000000000;16; 7.006824
100000;32; 0.002032
1000000;32; 0.007653
10000000;32; 0.055903
100000000;32; 0.527330
1000000000;32; 4.950155
10000000000;32; 6.929747
100000;2; 0.001977
1000000;2; 0.019389
10000000;2; 0.185534
100000000;2; 1.844186
1000000000;2; 18.223563
10000000000;2; 25.699195
100000;4; 0.001249
1000000;4; 0.009571
10000000;4; 0.095778
100000000;4; 0.939167
1000000000;4; 9.226524
10000000000;4; 13.096503
100000;8; 0.001718
1000000;8; 0.006478
10000000;8; 0.064302
100000000;8; 0.558966
1000000000;8; 5.075738
10000000000;8; 7.037614
100000;16; 0.001671
1000000;16; 0.007791
10000000;16; 0.066454
100000000;16; 0.584011
1000000000;16; 5.002937
10000000000;16; 7.022580
100000;32; 0.002179
1000000;32; 0.007648
10000000;32; 0.059746
100000000;32; 0.534680
1000000000;32; 5.005262
10000000000;32; 6.993526
100000;2; 0.001924
1000000;2; 0.018159
10000000;2; 0.190210
100000000;2; 1.824924
1000000000;2; 18.076786
10000000000;2; 25.520125
100000;4; 0.001127
1000000;4; 0.009711
10000000;4; 0.098859
100000000;4; 0.946925
1000000000;4; 9.287786
10000000000;4; 13.076831
100000;8; 0.001064
1000000;8; 0.005558
10000000;8; 0.064313
100000000;8; 0.516068
1000000000;8; 4.850921
10000000000;8; 6.878081
100000;16; 0.001363
1000000;16; 0.007421
10000000;16; 0.058920
100000000;16; 0.532745
1000000000;16; 4.905905
10000000000;16; 6.955979
100000;32; 0.001853
1000000;32; 0.007344
10000000;32; 0.058407
100000000;32; 0.508090
1000000000;32; 4.906771
10000000000;32; 6.870718
100000;2; 0.001879
1000000;2; 0.018674
10000000;2; 0.188353
100000000;2; 1.835167
1000000000;2; 18.020129
10000000000;2; 25.450534
100000;4; 0.001125
1000000;4; 0.010181
10000000;4; 0.096021
100000000;4; 0.920733
1000000000;4; 9.262208
10000000000;4; 13.033759
100000;8; 0.001083
1000000;8; 0.005791
10000000;8; 0.064455
100000000;8; 0.547997
1000000000;8; 4.934357
10000000000;8; 6.871069
100000;16; 0.001290
1000000;16; 0.006958
10000000;16; 0.060097
100000000;16; 0.527229
1000000000;16; 4.950857
10000000000;16; 6.932661
100000;32; 0.001778
1000000;32; 0.009011
10000000;32; 0.060452
100000000;32; 0.506154
1000000000;32; 4.912995
10000000000;32; 6.873989
100000;2; 0.001920
1000000;2; 0.018573
10000000;2; 0.180865
100000000;2; 1.819101
1000000000;2; 18.103274
10000000000;2; 25.512150
100000;4; 0.001301
1000000;4; 0.009858
10000000;4; 0.094780
100000000;4; 0.932271
1000000000;4; 9.232282
10000000000;4; 13.024080
100000;8; 0.001047
1000000;8; 0.005583
10000000;8; 0.059220
100000000;8; 0.537878
1000000000;8; 4.850233
10000000000;8; 6.891977
100000;16; 0.002148
1000000;16; 0.005671
10000000;16; 0.062836
100000000;16; 0.532292
1000000000;16; 4.935733
10000000000;16; 6.926810
100000;32; 0.002096
1000000;32; 0.007534
10000000;32; 0.056787
100000000;32; 0.512891
1000000000;32; 4.874109
10000000000;32; 6.946038
100000;2; 0.001881
1000000;2; 0.018473
10000000;2; 0.180572
100000000;2; 1.826098
1000000000;2; 18.078180
10000000000;2; 25.475818
100000;4; 0.001148
1000000;4; 0.009794
10000000;4; 0.095052
100000000;4; 0.932730
1000000000;4; 9.268063
10000000000;4; 13.094565
100000;8; 0.001300
1000000;8; 0.008757
10000000;8; 0.071671
100000000;8; 0.560147
1000000000;8; 5.001525
10000000000;8; 7.045744
100000;16; 0.001768
1000000;16; 0.007793
10000000;16; 0.068902
100000000;16; 0.530926
1000000000;16; 5.143394
10000000000;16; 6.953780
100000;32; 0.002062
1000000;32; 0.008508
10000000;32; 0.060478
100000000;32; 0.572107
1000000000;32; 4.981117
10000000000;32; 6.925872
100000;2; 0.001952
1000000;2; 0.018716
10000000;2; 0.188530
